DATE,Speard ,Yield
6/1/76,10 years - 2 years,0.68
6/2/76,10 years - 2 years,0.71
6/3/76,10 years - 2 years,0.7
6/4/76,10 years - 2 years,0.77
6/7/76,10 years - 2 years,0.79
6/8/76,10 years - 2 years,0.79
6/9/76,10 years - 2 years,0.82
6/10/76,10 years - 2 years,0.86
6/11/76,10 years - 2 years,0.83
6/14/76,10 years - 2 years,0.83
6/15/76,10 years - 2 years,0.83
6/16/76,10 years - 2 years,0.81
6/17/76,10 years - 2 years,0.79
6/18/76,10 years - 2 years,0.82
6/21/76,10 years - 2 years,0.85
6/22/76,10 years - 2 years,0.8
6/23/76,10 years - 2 years,0.8
6/24/76,10 years - 2 years,0.82
6/25/76,10 years - 2 years,0.81
6/28/76,10 years - 2 years,0.84
6/29/76,10 years - 2 years,0.84
6/30/76,10 years - 2 years,0.84
7/1/76,10 years - 2 years,0.86
7/2/76,10 years - 2 years,0.85
7/5/76,10 years - 2 years,.
7/6/76,10 years - 2 years,0.86
7/7/76,10 years - 2 years,0.85
7/8/76,10 years - 2 years,0.9
7/9/76,10 years - 2 years,1.01
7/12/76,10 years - 2 years,1.04
7/13/76,10 years - 2 years,1.03
7/14/76,10 years - 2 years,1.03
7/15/76,10 years - 2 years,1.05
7/16/76,10 years - 2 years,0.98
7/19/76,10 years - 2 years,0.97
7/20/76,10 years - 2 years,0.96
7/21/76,10 years - 2 years,0.96
7/22/76,10 years - 2 years,0.95
7/23/76,10 years - 2 years,0.94
7/26/76,10 years - 2 years,1.01
7/27/76,10 years - 2 years,1.09
7/28/76,10 years - 2 years,1.06
7/29/76,10 years - 2 years,1.1
7/30/76,10 years - 2 years,1.12
8/2/76,10 years - 2 years,1.1
8/3/76,10 years - 2 years,1.1
8/4/76,10 years - 2 years,1.08
8/5/76,10 years - 2 years,1.08
8/6/76,10 years - 2 years,1.13
8/9/76,10 years - 2 years,1.16
8/10/76,10 years - 2 years,1.16
8/11/76,10 years - 2 years,1.16
8/12/76,10 years - 2 years,1.17
8/13/76,10 years - 2 years,1.18
8/16/76,10 years - 2 years,1.17
8/17/76,10 years - 2 years,1.18
8/18/76,10 years - 2 years,1.17
8/19/76,10 years - 2 years,1.15
8/20/76,10 years - 2 years,1.08
8/23/76,10 years - 2 years,1.11
8/24/76,10 years - 2 years,1.12
8/25/76,10 years - 2 years,1.16
8/26/76,10 years - 2 years,1.14
8/27/76,10 years - 2 years,1.12
8/30/76,10 years - 2 years,1.14
8/31/76,10 years - 2 years,1.16
9/1/76,10 years - 2 years,1.14
9/2/76,10 years - 2 years,1.13
9/3/76,10 years - 2 years,1.13
9/6/76,10 years - 2 years,.
9/7/76,10 years - 2 years,1.18
9/8/76,10 years - 2 years,1.2
9/9/76,10 years - 2 years,1.17
9/10/76,10 years - 2 years,1.18
9/13/76,10 years - 2 years,1.17
9/14/76,10 years - 2 years,1.15
9/15/76,10 years - 2 years,1.17
9/16/76,10 years - 2 years,1.19
9/17/76,10 years - 2 years,1.23
9/20/76,10 years - 2 years,1.18
9/21/76,10 years - 2 years,1.21
9/22/76,10 years - 2 years,1.17
9/23/76,10 years - 2 years,1.19
9/24/76,10 years - 2 years,1.14
9/27/76,10 years - 2 years,1.19
9/28/76,10 years - 2 years,1.2
9/29/76,10 years - 2 years,1.2
9/30/76,10 years - 2 years,1.22
10/1/76,10 years - 2 years,1.25
10/4/76,10 years - 2 years,1.27
10/5/76,10 years - 2 years,1.28
10/6/76,10 years - 2 years,1.33
10/7/76,10 years - 2 years,1.34
10/8/76,10 years - 2 years,1.51
10/11/76,10 years - 2 years,.
10/12/76,10 years - 2 years,1.55
10/13/76,10 years - 2 years,1.53
10/14/76,10 years - 2 years,1.53
10/15/76,10 years - 2 years,1.56
10/18/76,10 years - 2 years,1.54
10/19/76,10 years - 2 years,1.5
10/20/76,10 years - 2 years,1.43
10/21/76,10 years - 2 years,1.41
10/22/76,10 years - 2 years,1.41
10/25/76,10 years - 2 years,1.42
10/26/76,10 years - 2 years,1.43
10/27/76,10 years - 2 years,1.44
10/28/76,10 years - 2 years,1.42
10/29/76,10 years - 2 years,1.39
11/1/76,10 years - 2 years,1.35
11/2/76,10 years - 2 years,.
11/3/76,10 years - 2 years,1.37
11/4/76,10 years - 2 years,1.43
11/5/76,10 years - 2 years,1.4
11/8/76,10 years - 2 years,1.42
11/9/76,10 years - 2 years,1.39
11/10/76,10 years - 2 years,1.42
11/11/76,10 years - 2 years,.
11/12/76,10 years - 2 years,1.42
11/15/76,10 years - 2 years,1.41
11/16/76,10 years - 2 years,1.47
11/17/76,10 years - 2 years,1.5
11/18/76,10 years - 2 years,1.5
11/19/76,10 years - 2 years,1.57
11/22/76,10 years - 2 years,1.61
11/23/76,10 years - 2 years,1.57
11/24/76,10 years - 2 years,1.58
11/25/76,10 years - 2 years,.
11/26/76,10 years - 2 years,1.58
11/29/76,10 years - 2 years,1.56
11/30/76,10 years - 2 years,1.59
12/1/76,10 years - 2 years,1.57
12/2/76,10 years - 2 years,1.58
12/3/76,10 years - 2 years,1.55
12/6/76,10 years - 2 years,1.5
12/7/76,10 years - 2 years,1.47
12/8/76,10 years - 2 years,1.48
12/9/76,10 years - 2 years,1.48
12/10/76,10 years - 2 years,1.51
12/13/76,10 years - 2 years,1.47
12/14/76,10 years - 2 years,1.5
12/15/76,10 years - 2 years,1.5
12/16/76,10 years - 2 years,1.48
12/17/76,10 years - 2 years,1.48
12/20/76,10 years - 2 years,1.5
12/21/76,10 years - 2 years,1.48
12/22/76,10 years - 2 years,1.52
12/23/76,10 years - 2 years,1.48
12/24/76,10 years - 2 years,.
12/27/76,10 years - 2 years,1.47
12/28/76,10 years - 2 years,1.47
12/29/76,10 years - 2 years,1.45
12/30/76,10 years - 2 years,1.42
12/31/76,10 years - 2 years,1.47
1/3/77,10 years - 2 years,1.42
1/4/77,10 years - 2 years,1.4
1/5/77,10 years - 2 years,1.4
1/6/77,10 years - 2 years,1.36
1/7/77,10 years - 2 years,1.39
1/10/77,10 years - 2 years,1.41
1/11/77,10 years - 2 years,1.41
1/12/77,10 years - 2 years,1.42
1/13/77,10 years - 2 years,1.39
1/14/77,10 years - 2 years,1.32
1/17/77,10 years - 2 years,1.3
1/18/77,10 years - 2 years,1.3
1/19/77,10 years - 2 years,1.26
1/20/77,10 years - 2 years,1.25
1/21/77,10 years - 2 years,1.26
1/24/77,10 years - 2 years,1.25
1/25/77,10 years - 2 years,1.24
1/26/77,10 years - 2 years,1.24
1/27/77,10 years - 2 years,1.17
1/28/77,10 years - 2 years,1.18
1/31/77,10 years - 2 years,1.22
2/1/77,10 years - 2 years,1.21
2/2/77,10 years - 2 years,1.19
2/3/77,10 years - 2 years,1.26
2/4/77,10 years - 2 years,1.25
2/7/77,10 years - 2 years,1.3
2/8/77,10 years - 2 years,1.29
2/9/77,10 years - 2 years,1.33
2/10/77,10 years - 2 years,1.3
2/11/77,10 years - 2 years,1.34
2/14/77,10 years - 2 years,1.32
2/15/77,10 years - 2 years,1.32
2/16/77,10 years - 2 years,1.32
2/17/77,10 years - 2 years,1.27
2/18/77,10 years - 2 years,1.35
2/21/77,10 years - 2 years,.
2/22/77,10 years - 2 years,1.33
2/23/77,10 years - 2 years,1.36
2/24/77,10 years - 2 years,1.3
2/25/77,10 years - 2 years,1.34
2/28/77,10 years - 2 years,1.37
3/1/77,10 years - 2 years,1.33
3/2/77,10 years - 2 years,1.33
3/3/77,10 years - 2 years,1.35
3/4/77,10 years - 2 years,1.38
3/7/77,10 years - 2 years,1.38
3/8/77,10 years - 2 years,1.38
3/9/77,10 years - 2 years,1.38
3/10/77,10 years - 2 years,1.38
3/11/77,10 years - 2 years,1.35
3/14/77,10 years - 2 years,1.39
3/15/77,10 years - 2 years,1.38
3/16/77,10 years - 2 years,1.36
3/17/77,10 years - 2 years,1.33
3/18/77,10 years - 2 years,1.36
3/21/77,10 years - 2 years,1.4
3/22/77,10 years - 2 years,1.39
3/23/77,10 years - 2 years,1.4
3/24/77,10 years - 2 years,1.39
3/25/77,10 years - 2 years,1.38
3/28/77,10 years - 2 years,1.36
3/29/77,10 years - 2 years,1.39
3/30/77,10 years - 2 years,1.39
3/31/77,10 years - 2 years,1.41
4/1/77,10 years - 2 years,1.41
4/4/77,10 years - 2 years,1.41
4/5/77,10 years - 2 years,1.46
4/6/77,10 years - 2 years,1.42
4/7/77,10 years - 2 years,1.41
4/8/77,10 years - 2 years,.
4/11/77,10 years - 2 years,1.43
4/12/77,10 years - 2 years,1.41
4/13/77,10 years - 2 years,1.4
4/14/77,10 years - 2 years,1.49
4/15/77,10 years - 2 years,1.47
4/18/77,10 years - 2 years,1.45
4/19/77,10 years - 2 years,1.43
4/20/77,10 years - 2 years,1.37
4/21/77,10 years - 2 years,1.39
4/22/77,10 years - 2 years,1.37
4/25/77,10 years - 2 years,1.39
4/26/77,10 years - 2 years,1.38
4/27/77,10 years - 2 years,1.37
4/28/77,10 years - 2 years,1.37
4/29/77,10 years - 2 years,1.31
5/2/77,10 years - 2 years,1.3
5/3/77,10 years - 2 years,1.29
5/4/77,10 years - 2 years,1.34
5/5/77,10 years - 2 years,1.31
5/6/77,10 years - 2 years,1.26
5/9/77,10 years - 2 years,1.25
5/10/77,10 years - 2 years,1.25
5/11/77,10 years - 2 years,1.18
5/12/77,10 years - 2 years,1.18
5/13/77,10 years - 2 years,1.2
5/16/77,10 years - 2 years,1.2
5/17/77,10 years - 2 years,1.2
5/18/77,10 years - 2 years,1.19
5/19/77,10 years - 2 years,1.12
5/20/77,10 years - 2 years,1.06
5/23/77,10 years - 2 years,1.08
5/24/77,10 years - 2 years,1.11
5/25/77,10 years - 2 years,1.16
5/26/77,10 years - 2 years,1.18
5/27/77,10 years - 2 years,1.18
5/30/77,10 years - 2 years,.
5/31/77,10 years - 2 years,1.2
6/1/77,10 years - 2 years,1.14
6/2/77,10 years - 2 years,1.19
6/3/77,10 years - 2 years,1.17
6/6/77,10 years - 2 years,1.19
6/7/77,10 years - 2 years,1.19
6/8/77,10 years - 2 years,1.21
6/9/77,10 years - 2 years,1.19
6/10/77,10 years - 2 years,1.15
6/13/77,10 years - 2 years,1.14
6/14/77,10 years - 2 years,1.14
6/15/77,10 years - 2 years,1.12
6/16/77,10 years - 2 years,1.12
6/17/77,10 years - 2 years,1.14
6/20/77,10 years - 2 years,1.16
6/21/77,10 years - 2 years,1.14
6/22/77,10 years - 2 years,1.13
6/23/77,10 years - 2 years,1.14
6/24/77,10 years - 2 years,1.1
6/27/77,10 years - 2 years,1.14
6/28/77,10 years - 2 years,1.1
6/29/77,10 years - 2 years,1.14
6/30/77,10 years - 2 years,1.12
7/1/77,10 years - 2 years,1.22
7/4/77,10 years - 2 years,.
7/5/77,10 years - 2 years,1.23
7/6/77,10 years - 2 years,1.23
7/7/77,10 years - 2 years,1.14
7/8/77,10 years - 2 years,1.12
7/11/77,10 years - 2 years,1.11
7/12/77,10 years - 2 years,1.1
7/13/77,10 years - 2 years,1.09
7/14/77,10 years - 2 years,.
7/15/77,10 years - 2 years,1.05
7/18/77,10 years - 2 years,1.04
7/19/77,10 years - 2 years,1.02
7/20/77,10 years - 2 years,0.97
7/21/77,10 years - 2 years,0.94
7/22/77,10 years - 2 years,0.96
7/25/77,10 years - 2 years,0.99
7/26/77,10 years - 2 years,1
7/27/77,10 years - 2 years,0.99
7/28/77,10 years - 2 years,0.93
7/29/77,10 years - 2 years,0.92
8/1/77,10 years - 2 years,0.94
8/2/77,10 years - 2 years,0.9
8/3/77,10 years - 2 years,0.89
8/4/77,10 years - 2 years,0.91
8/5/77,10 years - 2 years,0.89
8/8/77,10 years - 2 years,0.89
8/9/77,10 years - 2 years,0.87
8/10/77,10 years - 2 years,0.87
8/11/77,10 years - 2 years,0.83
8/12/77,10 years - 2 years,0.8
8/15/77,10 years - 2 years,0.77
8/16/77,10 years - 2 years,0.74
8/17/77,10 years - 2 years,0.72
8/18/77,10 years - 2 years,0.74
8/19/77,10 years - 2 years,0.73
8/22/77,10 years - 2 years,0.73
8/23/77,10 years - 2 years,0.72
8/24/77,10 years - 2 years,0.68
8/25/77,10 years - 2 years,0.7
8/26/77,10 years - 2 years,0.65
8/29/77,10 years - 2 years,0.69
8/30/77,10 years - 2 years,0.71
8/31/77,10 years - 2 years,0.69
9/1/77,10 years - 2 years,0.73
9/2/77,10 years - 2 years,0.71
9/5/77,10 years - 2 years,.
9/6/77,10 years - 2 years,0.72
9/7/77,10 years - 2 years,0.72
9/8/77,10 years - 2 years,0.74
9/9/77,10 years - 2 years,0.6
9/12/77,10 years - 2 years,0.6
9/13/77,10 years - 2 years,0.62
9/14/77,10 years - 2 years,0.6
9/15/77,10 years - 2 years,0.63
9/16/77,10 years - 2 years,0.64
9/19/77,10 years - 2 years,0.66
9/20/77,10 years - 2 years,0.66
9/21/77,10 years - 2 years,0.65
9/22/77,10 years - 2 years,0.54
9/23/77,10 years - 2 years,0.53
9/26/77,10 years - 2 years,0.53
9/27/77,10 years - 2 years,0.58
9/28/77,10 years - 2 years,0.57
9/29/77,10 years - 2 years,0.6
9/30/77,10 years - 2 years,0.59
10/3/77,10 years - 2 years,0.57
10/4/77,10 years - 2 years,0.56
10/5/77,10 years - 2 years,0.54
10/6/77,10 years - 2 years,0.55
10/7/77,10 years - 2 years,0.52
10/10/77,10 years - 2 years,.
10/11/77,10 years - 2 years,0.48
10/12/77,10 years - 2 years,0.4
10/13/77,10 years - 2 years,0.35
10/14/77,10 years - 2 years,0.37
10/17/77,10 years - 2 years,0.33
10/18/77,10 years - 2 years,0.32
10/19/77,10 years - 2 years,0.32
10/20/77,10 years - 2 years,0.34
10/21/77,10 years - 2 years,0.33
10/24/77,10 years - 2 years,0.36
10/25/77,10 years - 2 years,0.38
10/26/77,10 years - 2 years,0.4
10/27/77,10 years - 2 years,0.42
10/28/77,10 years - 2 years,0.42
10/31/77,10 years - 2 years,0.39
11/1/77,10 years - 2 years,0.4
11/2/77,10 years - 2 years,0.45
11/3/77,10 years - 2 years,0.46
11/4/77,10 years - 2 years,0.44
11/7/77,10 years - 2 years,0.45
11/8/77,10 years - 2 years,.
11/9/77,10 years - 2 years,0.44
11/10/77,10 years - 2 years,0.44
11/11/77,10 years - 2 years,.
11/14/77,10 years - 2 years,0.46
11/15/77,10 years - 2 years,0.45
11/16/77,10 years - 2 years,0.43
11/17/77,10 years - 2 years,0.44
11/18/77,10 years - 2 years,0.43
11/21/77,10 years - 2 years,0.44
11/22/77,10 years - 2 years,0.4
11/23/77,10 years - 2 years,0.41
11/24/77,10 years - 2 years,.
11/25/77,10 years - 2 years,0.42
11/28/77,10 years - 2 years,0.42
11/29/77,10 years - 2 years,0.44
11/30/77,10 years - 2 years,0.44
12/1/77,10 years - 2 years,0.45
12/2/77,10 years - 2 years,0.44
12/5/77,10 years - 2 years,0.45
12/6/77,10 years - 2 years,0.48
12/7/77,10 years - 2 years,0.47
12/8/77,10 years - 2 years,0.48
12/9/77,10 years - 2 years,0.48
12/12/77,10 years - 2 years,0.48
12/13/77,10 years - 2 years,0.49
12/14/77,10 years - 2 years,0.5
12/15/77,10 years - 2 years,0.53
12/16/77,10 years - 2 years,0.54
12/19/77,10 years - 2 years,0.56
12/20/77,10 years - 2 years,0.6
12/21/77,10 years - 2 years,0.56
12/22/77,10 years - 2 years,0.49
12/23/77,10 years - 2 years,0.51
12/26/77,10 years - 2 years,.
12/27/77,10 years - 2 years,0.52
12/28/77,10 years - 2 years,0.53
12/29/77,10 years - 2 years,0.56
12/30/77,10 years - 2 years,0.56
1/2/78,10 years - 2 years,.
1/3/78,10 years - 2 years,0.59
1/4/78,10 years - 2 years,0.58
1/5/78,10 years - 2 years,0.57
1/6/78,10 years - 2 years,0.57
1/9/78,10 years - 2 years,0.43
1/10/78,10 years - 2 years,0.44
1/11/78,10 years - 2 years,0.43
1/12/78,10 years - 2 years,0.42
1/13/78,10 years - 2 years,0.41
1/16/78,10 years - 2 years,0.43
1/17/78,10 years - 2 years,0.44
1/18/78,10 years - 2 years,0.44
1/19/78,10 years - 2 years,0.42
1/20/78,10 years - 2 years,0.42
1/23/78,10 years - 2 years,0.44
1/24/78,10 years - 2 years,0.46
1/25/78,10 years - 2 years,0.47
1/26/78,10 years - 2 years,0.47
1/27/78,10 years - 2 years,0.49
1/30/78,10 years - 2 years,0.49
1/31/78,10 years - 2 years,0.47
2/1/78,10 years - 2 years,0.49
2/2/78,10 years - 2 years,0.48
2/3/78,10 years - 2 years,0.49
2/6/78,10 years - 2 years,0.49
2/7/78,10 years - 2 years,0.47
2/8/78,10 years - 2 years,0.48
2/9/78,10 years - 2 years,0.49
2/10/78,10 years - 2 years,0.49
2/13/78,10 years - 2 years,.
2/14/78,10 years - 2 years,0.48
2/15/78,10 years - 2 years,0.49
2/16/78,10 years - 2 years,0.46
2/17/78,10 years - 2 years,0.46
2/20/78,10 years - 2 years,.
2/21/78,10 years - 2 years,0.45
2/22/78,10 years - 2 years,0.45
2/23/78,10 years - 2 years,0.43
2/24/78,10 years - 2 years,0.43
2/27/78,10 years - 2 years,0.43
2/28/78,10 years - 2 years,0.47
3/1/78,10 years - 2 years,0.46
3/2/78,10 years - 2 years,0.45
3/3/78,10 years - 2 years,0.45
3/6/78,10 years - 2 years,0.47
3/7/78,10 years - 2 years,0.47
3/8/78,10 years - 2 years,0.49
3/9/78,10 years - 2 years,0.46
3/10/78,10 years - 2 years,0.46
3/13/78,10 years - 2 years,0.45
3/14/78,10 years - 2 years,0.45
3/15/78,10 years - 2 years,0.46
3/16/78,10 years - 2 years,0.46
3/17/78,10 years - 2 years,0.45
3/20/78,10 years - 2 years,0.44
3/21/78,10 years - 2 years,0.44
3/22/78,10 years - 2 years,0.44
3/23/78,10 years - 2 years,0.45
3/24/78,10 years - 2 years,.
3/27/78,10 years - 2 years,0.51
3/28/78,10 years - 2 years,0.48
3/29/78,10 years - 2 years,0.47
3/30/78,10 years - 2 years,0.48
3/31/78,10 years - 2 years,0.45
4/3/78,10 years - 2 years,0.44
4/4/78,10 years - 2 years,0.43
4/5/78,10 years - 2 years,0.42
4/6/78,10 years - 2 years,0.43
4/7/78,10 years - 2 years,0.42
4/10/78,10 years - 2 years,0.43
4/11/78,10 years - 2 years,0.45
4/12/78,10 years - 2 years,0.47
4/13/78,10 years - 2 years,0.48
4/14/78,10 years - 2 years,0.51
4/17/78,10 years - 2 years,0.48
4/18/78,10 years - 2 years,0.46
4/19/78,10 years - 2 years,0.36
4/20/78,10 years - 2 years,0.35
4/21/78,10 years - 2 years,0.35
4/24/78,10 years - 2 years,0.36
4/25/78,10 years - 2 years,0.38
4/26/78,10 years - 2 years,0.37
4/27/78,10 years - 2 years,0.35
4/28/78,10 years - 2 years,0.27
5/1/78,10 years - 2 years,0.33
5/2/78,10 years - 2 years,0.34
5/3/78,10 years - 2 years,0.37
5/4/78,10 years - 2 years,0.37
5/5/78,10 years - 2 years,0.38
5/8/78,10 years - 2 years,0.37
5/9/78,10 years - 2 years,0.36
5/10/78,10 years - 2 years,0.36
5/11/78,10 years - 2 years,0.34
5/12/78,10 years - 2 years,0.36
5/15/78,10 years - 2 years,0.37
5/16/78,10 years - 2 years,0.37
5/17/78,10 years - 2 years,0.35
5/18/78,10 years - 2 years,0.33
5/19/78,10 years - 2 years,0.31
5/22/78,10 years - 2 years,0.31
5/23/78,10 years - 2 years,0.3
5/24/78,10 years - 2 years,0.29
5/25/78,10 years - 2 years,0.3
5/26/78,10 years - 2 years,0.32
5/29/78,10 years - 2 years,.
5/30/78,10 years - 2 years,.
5/31/78,10 years - 2 years,0.3
6/1/78,10 years - 2 years,0.29
6/2/78,10 years - 2 years,0.3
6/5/78,10 years - 2 years,0.31
6/6/78,10 years - 2 years,0.3
6/7/78,10 years - 2 years,0.3
6/8/78,10 years - 2 years,0.31
6/9/78,10 years - 2 years,0.32
6/12/78,10 years - 2 years,0.29
6/13/78,10 years - 2 years,0.3
6/14/78,10 years - 2 years,0.29
6/15/78,10 years - 2 years,0.29
6/16/78,10 years - 2 years,0.24
6/19/78,10 years - 2 years,0.2
6/20/78,10 years - 2 years,0.2
6/21/78,10 years - 2 years,0.09
6/22/78,10 years - 2 years,0.09
6/23/78,10 years - 2 years,0.11
6/26/78,10 years - 2 years,0.11
6/27/78,10 years - 2 years,0.14
6/28/78,10 years - 2 years,0.13
6/29/78,10 years - 2 years,0.15
6/30/78,10 years - 2 years,0.14
7/3/78,10 years - 2 years,0.15
7/4/78,10 years - 2 years,.
7/5/78,10 years - 2 years,0.18
7/6/78,10 years - 2 years,0.18
7/7/78,10 years - 2 years,0.18
7/10/78,10 years - 2 years,0.18
7/11/78,10 years - 2 years,0.2
7/12/78,10 years - 2 years,0.19
7/13/78,10 years - 2 years,0.18
7/14/78,10 years - 2 years,0.17
7/17/78,10 years - 2 years,0.17
7/18/78,10 years - 2 years,0.17
7/19/78,10 years - 2 years,0.16
7/20/78,10 years - 2 years,0.16
7/21/78,10 years - 2 years,0.08
7/24/78,10 years - 2 years,0.1
7/25/78,10 years - 2 years,0.12
7/26/78,10 years - 2 years,0.14
7/27/78,10 years - 2 years,0.11
7/28/78,10 years - 2 years,0.1
7/31/78,10 years - 2 years,0.09
8/1/78,10 years - 2 years,0.09
8/2/78,10 years - 2 years,0.04
8/3/78,10 years - 2 years,0.13
8/4/78,10 years - 2 years,0.12
8/7/78,10 years - 2 years,0.18
8/8/78,10 years - 2 years,0.16
8/9/78,10 years - 2 years,0.17
8/10/78,10 years - 2 years,0.21
8/11/78,10 years - 2 years,0.19
8/14/78,10 years - 2 years,0.16
8/15/78,10 years - 2 years,0.17
8/16/78,10 years - 2 years,0.05
8/17/78,10 years - 2 years,0
8/18/78,10 years - 2 years,-0.04
8/21/78,10 years - 2 years,-0.06
8/22/78,10 years - 2 years,-0.06
8/23/78,10 years - 2 years,-0.1
8/24/78,10 years - 2 years,-0.06
8/25/78,10 years - 2 years,-0.07
8/28/78,10 years - 2 years,-0.06
8/29/78,10 years - 2 years,-0.07
8/30/78,10 years - 2 years,-0.06
8/31/78,10 years - 2 years,-0.07
9/1/78,10 years - 2 years,-0.12
9/4/78,10 years - 2 years,.
9/5/78,10 years - 2 years,-0.12
9/6/78,10 years - 2 years,-0.09
9/7/78,10 years - 2 years,-0.1
9/8/78,10 years - 2 years,-0.12
9/11/78,10 years - 2 years,-0.12
9/12/78,10 years - 2 years,-0.16
9/13/78,10 years - 2 years,-0.15
9/14/78,10 years - 2 years,-0.13
9/15/78,10 years - 2 years,-0.14
9/18/78,10 years - 2 years,-0.15
9/19/78,10 years - 2 years,-0.16
9/20/78,10 years - 2 years,-0.14
9/21/78,10 years - 2 years,-0.18
9/22/78,10 years - 2 years,-0.17
9/25/78,10 years - 2 years,-0.19
9/26/78,10 years - 2 years,-0.22
9/27/78,10 years - 2 years,-0.2
9/28/78,10 years - 2 years,-0.18
9/29/78,10 years - 2 years,-0.14
10/2/78,10 years - 2 years,-0.13
10/3/78,10 years - 2 years,-0.12
10/4/78,10 years - 2 years,-0.1
10/5/78,10 years - 2 years,-0.09
10/6/78,10 years - 2 years,-0.11
10/9/78,10 years - 2 years,.
10/10/78,10 years - 2 years,-0.12
10/11/78,10 years - 2 years,-0.14
10/12/78,10 years - 2 years,-0.18
10/13/78,10 years - 2 years,-0.17
10/16/78,10 years - 2 years,-0.14
10/17/78,10 years - 2 years,-0.17
10/18/78,10 years - 2 years,-0.21
10/19/78,10 years - 2 years,-0.2
10/20/78,10 years - 2 years,-0.19
10/23/78,10 years - 2 years,-0.18
10/24/78,10 years - 2 years,-0.21
10/25/78,10 years - 2 years,-0.31
10/26/78,10 years - 2 years,-0.33
10/27/78,10 years - 2 years,-0.34
10/30/78,10 years - 2 years,-0.47
10/31/78,10 years - 2 years,-0.53
11/1/78,10 years - 2 years,-0.78
11/2/78,10 years - 2 years,-0.69
11/3/78,10 years - 2 years,-0.63
11/6/78,10 years - 2 years,-0.6
11/7/78,10 years - 2 years,.
11/8/78,10 years - 2 years,-0.63
11/9/78,10 years - 2 years,-0.63
11/10/78,10 years - 2 years,-0.6
11/13/78,10 years - 2 years,-0.57
11/14/78,10 years - 2 years,-0.59
11/15/78,10 years - 2 years,-0.58
11/16/78,10 years - 2 years,-0.49
11/17/78,10 years - 2 years,-0.47
11/20/78,10 years - 2 years,-0.47
11/21/78,10 years - 2 years,-0.46
11/22/78,10 years - 2 years,-0.6
11/23/78,10 years - 2 years,.
11/24/78,10 years - 2 years,-0.74
11/27/78,10 years - 2 years,-0.74
11/28/78,10 years - 2 years,-0.74
11/29/78,10 years - 2 years,-0.69
11/30/78,10 years - 2 years,-0.69
12/1/78,10 years - 2 years,-0.7
12/4/78,10 years - 2 years,-0.69
12/5/78,10 years - 2 years,-0.65
12/6/78,10 years - 2 years,-0.65
12/7/78,10 years - 2 years,-0.61
12/8/78,10 years - 2 years,-0.61
12/11/78,10 years - 2 years,-0.62
12/12/78,10 years - 2 years,-0.6
12/13/78,10 years - 2 years,-0.56
12/14/78,10 years - 2 years,-0.58
12/15/78,10 years - 2 years,-0.58
12/18/78,10 years - 2 years,-0.73
12/19/78,10 years - 2 years,-0.77
12/20/78,10 years - 2 years,-0.8
12/21/78,10 years - 2 years,-0.82
12/22/78,10 years - 2 years,-0.85
12/25/78,10 years - 2 years,.
12/26/78,10 years - 2 years,-0.85
12/27/78,10 years - 2 years,-0.86
12/28/78,10 years - 2 years,-0.82
12/29/78,10 years - 2 years,-0.83
1/1/79,10 years - 2 years,.
1/2/79,10 years - 2 years,-0.82
1/3/79,10 years - 2 years,-0.82
1/4/79,10 years - 2 years,-0.77
1/5/79,10 years - 2 years,-0.77
1/8/79,10 years - 2 years,-0.78
1/9/79,10 years - 2 years,-0.76
1/10/79,10 years - 2 years,-0.78
1/11/79,10 years - 2 years,-0.77
1/12/79,10 years - 2 years,-0.78
1/15/79,10 years - 2 years,-0.76
1/16/79,10 years - 2 years,-0.76
1/17/79,10 years - 2 years,-0.73
1/18/79,10 years - 2 years,-0.74
1/19/79,10 years - 2 years,-0.76
1/22/79,10 years - 2 years,-0.74
1/23/79,10 years - 2 years,-0.75
1/24/79,10 years - 2 years,-0.77
1/25/79,10 years - 2 years,-0.8
1/26/79,10 years - 2 years,-0.74
1/29/79,10 years - 2 years,-0.71
1/30/79,10 years - 2 years,-0.73
1/31/79,10 years - 2 years,-0.69
2/1/79,10 years - 2 years,-0.67
2/2/79,10 years - 2 years,-0.59
2/5/79,10 years - 2 years,-0.58
2/6/79,10 years - 2 years,-0.58
2/7/79,10 years - 2 years,-0.58
2/8/79,10 years - 2 years,-0.61
2/9/79,10 years - 2 years,-0.59
2/12/79,10 years - 2 years,.
2/13/79,10 years - 2 years,-0.58
2/14/79,10 years - 2 years,-0.55
2/15/79,10 years - 2 years,-0.56
2/16/79,10 years - 2 years,-0.57
2/19/79,10 years - 2 years,.
2/20/79,10 years - 2 years,-0.57
2/21/79,10 years - 2 years,-0.56
2/22/79,10 years - 2 years,-0.7
2/23/79,10 years - 2 years,-0.71
2/26/79,10 years - 2 years,-0.71
2/27/79,10 years - 2 years,-0.7
2/28/79,10 years - 2 years,-0.72
3/1/79,10 years - 2 years,-0.7
3/2/79,10 years - 2 years,-0.71
3/5/79,10 years - 2 years,-0.72
3/6/79,10 years - 2 years,-0.69
3/7/79,10 years - 2 years,-0.71
3/8/79,10 years - 2 years,-0.66
3/9/79,10 years - 2 years,-0.68
3/12/79,10 years - 2 years,-0.7
3/13/79,10 years - 2 years,-0.69
3/14/79,10 years - 2 years,-0.7
3/15/79,10 years - 2 years,-0.68
3/16/79,10 years - 2 years,-0.72
3/19/79,10 years - 2 years,-0.69
3/20/79,10 years - 2 years,-0.66
3/21/79,10 years - 2 years,-0.66
